CNTY_NM,Longitude,Latitude,FIPS,max_wind_speed(knots),hurricane_count,burned_area(km*km),wildfire_count
Shackelford,-99.35403034,32.7360276,48417,25,4,123.69,10
Shelby,-94.14495261,31.79242191,48419,55,12,40.73,8
Sherman,-101.8933822,36.27765824,48421,0,0,48.23,14
Smith,-95.26909511,32.37514553,48423,50,6,25.3,11
Somervell,-97.77456553,32.22229511,48425,32,6,11.79,5
Starr,-98.73834895,26.56212627,48427,85,9,146.84,11
Stephens,-98.83612016,32.73584155,48429,25,4,31.94,9
Sterling,-101.0500699,31.82786516,48431,25,2,23.37,5
Stonewall,-100.255259,33.17842158,48433,25,2,35.59,3
Sutton,-100.5382263,30.49747152,48435,27,2,148.13,9
Swisher,-101.734951,34.53064989,48437,20,1,155.42,11
Tarrant,-97.29116473,32.77185236,48439,32,6,27.44,3
Taylor,-99.89003941,32.30138229,48441,25,2,123.69,7
Terrell,-102.0764533,30.22502597,48443,25,1,181.57,9
Terry,-102.335157,33.17373729,48445,20,1,476.33,8
Throckmorton,-99.21236832,33.17753907,48447,25,4,24.01,5
Titus,-94.96509786,33.2160906,48449,42,6,90.25,10
Tom Green,-100.4620678,31.4044442,48451,25,3,44.37,4
Travis,-97.78194654,30.33423319,48453,30,3,24.65,11
Trinity,-95.13551682,31.0885069,48455,85,12,93.25,11
Tyler,-94.37651432,30.7712607,48457,89,16,30.44,8
Upshur,-94.94132011,32.7362827,48459,42,7,25.3,9
Upton,-102.0430005,31.36853957,48461,25,2,77.82,11
Uvalde,-99.76203107,29.35669829,48463,40,6,135.05,6
Val Verde,-101.15171,29.89300587,48465,30,4,145.13,8
Van Zandt,-95.8364862,32.56368961,48467,42,2,327.77,11
Victoria,-96.97176602,28.79640594,48469,115,9,146.63,7
Walker,-95.57224172,30.73899492,48471,85,13,93.25,9
Waller,-95.98768942,30.01093722,48473,91,13,55.52,7
Ward,-103.1024636,31.509424,48475,0,0,121.76,11
Washington,-96.40356575,30.2145299,48477,60,13,67.31,12
Webb,-99.33170164,27.76102524,48479,70,6,37.09,10
Wharton,-96.22197375,29.2778362,48481,91,14,11.58,5
Wheeler,-100.2697634,35.40129002,48483,37,1,417.16,13
Wichita,-98.70153389,33.98421585,48485,25,5,129.26,4
Wilbarger,-99.24089568,34.08044953,48487,25,4,591.02,9
Willacy,-97.64303323,26.47132899,48489,120,10,65.38,5
Williamson,-97.60105467,30.64834941,48491,30,5,53.16,9
Wilson,-98.08621015,29.17315896,48493,65,8,48.02,9
Winkler,-103.0484794,31.85008609,48495,0,0,121.76,11
Wise,-97.65444124,33.21585061,48497,30,5,40.94,5
Wood,-95.38206498,32.78634374,48499,42,5,68.81,12
Yoakum,-102.8278792,33.17293501,48501,0,0,316.19,9
Young,-98.68781396,33.17670764,48503,25,5,48.02,5
Zapata,-99.16860134,27.00089072,48505,77,5,146.84,10
Zavala,-99.76102001,28.86530621,48507,40,6,135.05,10
